"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight01_fisher"	"genes"	"tissue"
"1"	GO:0043531	ADP binding	470	18	5.56	1.5e-05	c("Misin02G047900.1", "Misin07G292600.1", "Misin07G292700.1", "Misin09G083500.1", "Misin09G170400.1", "Misin10G033000.1", "Misin10G074500.1", "Misin10G196200.1", "Misin11G222200.1", "Misin12G201000.1", "Misin14G123500.1", "Misin14G151100.1", "Misin15G138700.1", "Misin15G159000.1", "Misin17G229000.1", "MisinT136200.1", "MisinT142100.1", "MisinT339000.1")	leaf
"2"	GO:0042972	licheninase activity	4	2	0.05	0.00082	c("Misin16G118700.1", "Misin17G123500.1")	leaf
"3"	GO:0003950	NAD+ ADP-ribosyltransferase activity	36	4	0.43	0.00084	c("Misin07G351600.1", "Misin10G002900.1", "Misin10G003300.1", "Misin10G003800.1")	leaf
"4"	GO:0016709	oxidoreductase activity, acting on paire...	404	13	4.78	0.00316	c("Misin01G012900.1", "Misin01G349900.1", "Misin04G105800.1", "Misin05G246000.1", "Misin05G312600.1", "Misin07G204200.1", "Misin09G192700.1", "Misin15G165600.1", "Misin17G203600.1", "Misin19G207900.1", "MisinT014600.1", "MisinT014900.1", "MisinT219600.1")	leaf
"5"	GO:0005506	iron ion binding	767	18	9.07	0.00492	c("Misin01G055200.1", "Misin01G154400.1", "Misin01G349900.1", "Misin04G105800.1", "Misin05G312600.1", "Misin06G138700.1", "Misin08G295000.1", "Misin09G192700.1", "Misin15G165600.1", "Misin17G179400.1", "Misin17G251700.1", "Misin18G011300.1", "Misin18G013600.1", "Misin19G196400.1", "MisinT014600.1", "MisinT014900.1", "MisinT182000.1", "MisinT219600.1")	leaf
"6"	GO:0010181	FMN binding	100	5	1.18	0.00678	c("Misin05G295500.1", "Misin07G365700.1", "Misin11G222200.1", "Misin12G092100.1", "Misin12G201000.1")	leaf
"7"	GO:0052852	very-long-chain-(S)-2-hydroxy-acid oxida...	11	2	0.13	0.00715	c("Misin11G222200.1", "Misin12G201000.1")	leaf
"8"	GO:0052853	long-chain-(S)-2-hydroxy-long-chain-acid...	11	2	0.13	0.00715	c("Misin11G222200.1", "Misin12G201000.1")	leaf
"9"	GO:0052854	medium-chain-(S)-2-hydroxy-acid oxidase ...	11	2	0.13	0.00715	c("Misin11G222200.1", "Misin12G201000.1")	leaf
"10"	GO:0004022	alcohol dehydrogenase (NAD) activity	12	2	0.14	0.00851	c("Misin01G078200.1", "Misin09G104900.1")	leaf
"11"	GO:0097027	ubiquitin-protein transferase activator ...	15	2	0.18	0.01323	c("Misin03G074500.1", "MisinT004700.1")	leaf
"12"	GO:0003993	acid phosphatase activity	78	4	0.92	0.01383	c("Misin01G029900.1", "Misin02G420500.1", "Misin05G303100.1", "Misin09G149500.1")	leaf
